frame,timestamp,hip_center_x,hip_center_y,ankle_L_x,ankle_L_y,ankle_R_x,ankle_R_y,foot_index_L_x,foot_index_R_x
249,8.2979,0.6237,0.9249,0.6519,1.1215,0.4222,1.3443,0.6462,0.5608
250,8.3312,0.6186,0.9226,0.6404,1.1183,0.4267,1.3431,0.6347,0.562
251,8.3646,0.6117,0.9166,0.6272,1.1084,0.43,1.3348,0.6216,0.5613
252,8.3979,0.6079,0.9083,0.6236,1.099,0.4219,1.3313,0.618,0.5573
253,8.4312,0.5956,0.901,0.6034,1.0926,0.4139,1.3198,0.5978,0.5529
254,8.4645,0.5897,0.889,0.594,1.0773,0.4126,1.303,0.5883,0.5506
255,8.4979,0.5834,0.8866,0.5816,1.0735,0.4148,1.2881,0.5759,0.5506
256,8.5312,0.5624,0.8904,0.5325,1.0781,0.4253,1.293,0.5268,0.5572
257,8.5645,0.5637,0.8948,0.5224,1.0807,0.4692,1.3076,0.5168,0.5701
258,8.5978,0.5686,0.8979,0.5167,1.0813,0.4891,1.3218,0.5111,0.5856
259,8.6312,0.5719,0.8994,0.5145,1.0822,0.4993,1.3291,0.5089,0.5944
260,8.6645,0.5783,0.9014,0.5154,1.0834,0.508,1.3402,0.5097,0.6065
261,8.6978,0.5795,0.9017,0.5076,1.0842,0.5097,1.3477,0.502,0.6165
262,8.7311,0.583,0.9011,0.5064,1.0845,0.5191,1.3579,0.5007,0.6249
263,8.7645,0.5816,0.9037,0.5046,1.0896,0.5249,1.352,0.4989,0.6237
264,8.7978,0.5829,0.9031,0.5032,1.0908,0.5204,1.3495,0.4977,0.6275
265,8.8311,0.5853,0.8981,0.4837,1.3488,0.5271,1.3484,0.5,0.63
266,8.8644,0.5855,0.8944,0.4993,1.3471,0.5328,1.3461,0.5021,0.6285
267,8.8978,0.5846,0.8918,0.5291,1.3454,0.5373,1.3404,0.4988,0.6299
268,8.9311,0.5845,0.8891,0.5511,1.3367,0.5512,1.3245,0.4979,0.6264
269,8.9644,0.5831,0.8831,0.5766,1.3278,0.5722,1.3123,0.4953,0.6338
270,8.9977,0.5829,0.879,0.5828,1.3224,0.5803,1.3,0.4949,0.6354
271,9.0311,0.5827,0.8745,0.5785,1.3164,0.5844,1.2911,0.494,0.6309
272,9.0644,0.5812,0.8737,0.5837,1.3179,0.6037,1.2953,0.4912,0.6307
273,9.0977,0.5818,0.8701,0.5811,1.3137,0.6179,1.289,0.4911,0.632
274,9.131,0.584,0.8633,0.579,1.3046,0.621,1.2907,0.4892,0.6383
275,9.1644,0.5824,0.8621,0.586,1.295,0.6167,1.2837,0.4863,0.638
276,9.1977,0.5827,0.856,0.5878,1.2833,0.6168,1.2728,0.4867,0.6382
277,9.231,0.5855,0.8579,0.5852,1.2848,0.6289,1.2764,0.4871,0.6434
278,9.2643,0.5866,0.8574,0.5836,1.2781,0.6292,1.2703,0.4869,0.6457
279,9.2977,0.5908,0.8568,0.5825,1.2747,0.6297,1.2643,0.4871,0.6539
280,9.331,0.5943,0.8552,0.582,1.2627,0.6285,1.2596,0.4873,0.6608
281,9.3643,0.6027,0.8471,0.5814,1.2584,0.6266,1.2589,0.4921,0.6729
282,9.3976,0.6072,0.8449,0.5811,1.2582,0.625,1.2599,0.4992,0.6748
283,9.431,0.6112,0.8459,0.5808,1.2458,0.6291,1.2412,0.5039,0.6781
284,9.4643,0.6174,0.8448,0.5822,1.2449,0.6406,1.2409,0.5106,0.6838
285,9.4976,0.6271,0.84,0.5847,1.2375,0.6535,1.2346,0.5196,0.6941
286,9.5309,0.6351,0.8314,0.5857,1.232,0.6539,1.2317,0.5286,0.7011
287,9.5643,0.6443,0.834,0.5883,1.2089,0.6685,1.2125,0.5362,0.7119
288,9.5976,0.6507,0.8333,0.5609,1.1855,0.6701,1.2051,0.5436,0.7172
289,9.6309,0.6594,0.8309,0.5548,1.1865,0.6753,1.2024,0.5522,0.7261
290,9.6642,0.6615,0.8314,0.5507,1.1766,0.6869,1.1964,0.5546,0.7279
291,9.6976,0.6659,0.8285,0.553,1.1791,0.6942,1.1877,0.56,0.7313
292,9.7309,0.6675,0.8251,0.5535,1.1545,0.6976,1.1683,0.5614,0.733
293,9.7642,0.6703,0.8249,0.5471,1.1423,0.6996,1.1564,0.5656,0.7346
294,9.7975,0.6728,0.8254,0.5489,1.1415,0.6991,1.1611,0.5685,0.7366
295,9.8309,0.6769,0.8239,0.5501,1.1433,0.6976,1.1596,0.5731,0.7402
296,9.8642,0.6769,0.8242,0.5512,1.1457,0.6965,1.1572,0.5745,0.7389
297,9.8975,0.6764,0.8245,0.5595,1.1516,0.6953,1.1584,0.5739,0.7384
298,9.9308,0.6759,0.8232,0.5673,1.1506,0.6965,1.1533,0.5737,0.7376
299,9.9642,0.6749,0.8219,0.5632,1.115,0.6959,1.1571,0.5723,0.7369
300,9.9975,0.671,0.8196,0.5634,1.1123,0.7005,1.1369,0.5675,0.7339
301,10.0308,0.6678,0.8121,0.5641,1.1079,0.6997,1.1232,0.5638,0.7314
302,10.0641,0.6577,0.8049,0.5569,1.0947,0.7018,1.0589,0.5561,0.7187
303,10.0975,0.6542,0.8022,0.5539,1.1068,0.6991,1.0964,0.5514,0.7164
304,10.1308,0.6479,0.8015,0.5546,1.112,0.6982,1.1091,0.5459,0.7092
305,10.1641,0.6422,0.7988,0.5537,1.1146,0.6966,1.1133,0.5421,0.7017
306,10.1974,0.6386,0.7961,0.5488,1.112,0.6954,1.1092,0.5393,0.6975
307,10.2308,0.6349,0.7914,0.5439,1.1045,0.6939,1.0995,0.5358,0.6936
308,10.2641,0.633,0.7857,0.5448,1.0985,0.694,1.0954,0.5343,0.6912
309,10.2974,0.6309,0.7818,0.5439,1.0941,0.6919,1.0904,0.533,0.6882
310,10.3307,0.6307,0.7819,0.5439,1.0504,0.6918,1.0825,0.4924,0.6872
311,10.3641,0.6287,0.7796,0.544,1.0343,0.6777,1.0328,0.5239,0.6827
312,10.3974,0.6289,0.7758,0.5443,1.0369,0.6729,1.0225,0.4995,0.6826
313,10.4307,0.6265,0.7765,0.5444,1.0268,0.6679,1.0147,0.4895,0.6802
314,10.464,0.6281,0.7726,0.5361,1.0399,0.6665,1.0156,0.4802,0.6809
315,10.4974,0.627,0.7714,0.5327,1.0487,0.6649,1.0135,0.4814,0.6787
316,10.5307,0.6285,0.7668,0.5348,1.0519,0.6652,1.0103,0.5213,0.679
317,10.564,0.6301,0.762,0.5374,1.0526,0.6659,1.008,0.5333,0.6797
318,10.5973,0.6318,0.7609,0.5424,1.0291,0.6662,1.0072,0.5394,0.6804
319,10.6307,0.6348,0.757,0.5479,1.0211,0.6659,1.0046,0.5411,0.6506
320,10.664,0.6358,0.7535,0.5509,1.0162,0.6642,1.0085,0.5468,0.6506
321,10.6973,0.6368,0.7496,0.5531,1.0103,0.6622,1.0084,0.5498,0.6507
322,10.7306,0.6403,0.7493,0.5544,1.0043,0.6625,1.0065,0.5524,0.65
323,10.764,0.6429,0.7476,0.5551,0.9999,0.6627,1.0069,0.5523,0.65
324,10.7973,0.6434,0.7466,0.5557,0.9989,0.6628,1.0083,0.5543,0.6501
325,10.8306,0.6439,0.7458,0.5552,0.9901,0.6623,1.0077,0.5521,0.6469
326,10.8639,0.6436,0.743,0.555,0.9858,0.6619,1.0075,0.5504,0.6471
327,10.8973,0.6422,0.7412,0.5529,0.9753,0.6607,1.0044,0.5493,0.6463
328,10.9306,0.6408,0.7419,0.5507,0.9717,0.6593,1.0013,0.5487,0.6409
329,10.9639,0.639,0.741,0.5487,0.9676,0.6567,0.9985,0.5483,0.6345
330,10.9972,0.6371,0.7414,0.5476,0.9648,0.6563,0.9986,0.5479,0.6315
331,11.0306,0.6308,0.7418,0.5466,0.9627,0.6558,0.9994,0.5474,0.6322
332,11.0639,0.624,0.7414,0.5461,0.9602,0.6546,0.9999,0.5497,0.631
333,11.0972,0.6173,0.7391,0.5459,0.958,0.6534,0.9981,0.5493,0.6312
334,11.1305,0.6129,0.7359,0.5451,0.9594,0.6521,0.9926,0.551,0.6316
335,11.1639,0.6088,0.7309,0.5445,0.9578,0.6517,0.984,0.5523,0.6318
336,11.1972,0.6036,0.7269,0.5424,0.9547,0.6495,0.9785,0.5526,0.6313
337,11.2305,0.6004,0.7256,0.5409,0.9556,0.6456,0.9734,0.5493,0.6306
338,11.2638,0.6007,0.7231,0.5392,0.9557,0.6421,0.9659,0.5472,0.6277
339,11.2972,0.5991,0.7206,0.539,0.9561,0.6396,0.9577,0.5462,0.6262
340,11.3305,0.5966,0.7178,0.5385,0.9556,0.6314,0.9521,0.5455,0.6191
341,11.3638,0.5941,0.718,0.5379,0.9557,0.6242,0.9461,0.5446,0.6098
342,11.3971,0.5925,0.718,0.5374,0.9554,0.6181,0.9429,0.5446,0.6032
343,11.4305,0.5926,0.7171,0.5382,0.9556,0.6152,0.9353,0.5446,0.5985
344,11.4638,0.5918,0.7159,0.5381,0.9557,0.6101,0.9255,0.5446,0.595
345,11.4971,0.5899,0.7143,0.5388,0.9549,0.6072,0.9193,0.5444,0.5914
346,11.5304,0.586,0.7145,0.5391,0.9552,0.6012,0.9164,0.5378,0.5857
347,11.5638,0.5856,0.7129,0.5391,0.9532,0.5982,0.9137,0.5381,0.5863
348,11.5971,0.5859,0.7083,0.5391,0.9534,0.5956,0.9144,0.5383,0.5825
349,11.6304,0.5859,0.7077,0.5391,0.9531,0.5965,0.9082,0.5384,0.5835
350,11.6637,0.5855,0.7063,0.5381,0.9478,0.5966,0.9064,0.5395,0.5848
351,11.6971,0.5853,0.7065,0.5379,0.9412,0.5961,0.9076,0.5432,0.5849
352,11.7304,0.5855,0.7068,0.5374,0.9339,0.5963,0.9075,0.5432,0.5843
353,11.7637,0.5861,0.7054,0.5354,0.9231,0.5949,0.9081,0.5431,0.5821
354,11.797,0.5877,0.7023,0.5326,0.9117,0.5945,0.9075,0.5416,0.5808
355,11.8304,0.5884,0.7012,0.5282,0.905,0.5944,0.9053,0.5336,0.5806
356,11.8637,0.5903,0.6998,0.522,0.9049,0.5948,0.9051,0.5228,0.5788
357,11.897,0.5911,0.6984,0.5171,0.9003,0.595,0.9046,0.517,0.5784
358,11.9303,0.591,0.6975,0.5133,0.8945,0.5952,0.9035,0.5107,0.5779
359,11.9637,0.5897,0.6971,0.5106,0.8875,0.5953,0.9004,0.5095,0.576
360,11.997,0.5884,0.6961,0.5118,0.8777,0.5954,0.9012,0.5123,0.5758
361,12.0303,0.5875,0.695,0.5129,0.8737,0.5955,0.9001,0.5137,0.5729
362,12.0636,0.5867,0.6949,0.5134,0.8735,0.5955,0.9006,0.5145,0.5731
363,12.097,0.5852,0.6939,0.5136,0.8731,0.5956,0.9003,0.5161,0.5734
364,12.1303,0.5818,0.6919,0.5141,0.8725,0.5955,0.8998,0.516,0.5737
365,12.1636,0.5791,0.691,0.5143,0.8741,0.5954,0.9001,0.5166,0.5744
366,12.1969,0.5763,0.6899,0.5144,0.8743,0.5952,0.8995,0.5164,0.5746
367,12.2303,0.5728,0.6894,0.5141,0.8729,0.5945,0.8992,0.5166,0.5757
368,12.2636,0.5706,0.6876,0.5137,0.873,0.5931,0.895,0.5163,0.576
369,12.2969,0.5694,0.6859,0.5135,0.8732,0.5916,0.8851,0.5164,0.5759
370,12.3302,0.5681,0.6839,0.5131,0.8729,0.5897,0.8776,0.5178,0.576
371,12.3636,0.5669,0.6804,0.5129,0.872,0.5864,0.8716,0.5202,0.5767
372,12.3969,0.5654,0.6788,0.512,0.8703,0.5834,0.8676,0.5205,0.5763
373,12.4302,0.564,0.6777,0.512,0.8702,0.5811,0.865,0.521,0.5763
374,12.4635,0.5624,0.6775,0.512,0.8707,0.5762,0.8634,0.5209,0.5754
375,12.4969,0.5599,0.6771,0.5121,0.8706,0.5734,0.86,0.5208,0.575
376,12.5302,0.5584,0.6763,0.512,0.8707,0.5726,0.8554,0.5202,0.5729
377,12.5635,0.5562,0.6761,0.512,0.8698,0.5706,0.8512,0.5185,0.5716
378,12.5968,0.5557,0.6749,0.5121,0.8698,0.5699,0.847,0.5169,0.5705
379,12.6302,0.5552,0.6746,0.5125,0.87,0.5692,0.8446,0.516,0.5695
380,12.6635,0.5547,0.6726,0.5126,0.869,0.5694,0.8431,0.516,0.5696
381,12.6968,0.5548,0.6723,0.5127,0.8691,0.5695,0.8393,0.516,0.5706
382,12.7301,0.5554,0.6708,0.5128,0.8692,0.5698,0.8407,0.5154,0.5706
383,12.7635,0.556,0.6684,0.5128,0.869,0.5701,0.8428,0.5149,0.5706
384,12.7968,0.5574,0.666,0.5129,0.8687,0.5704,0.8443,0.5145,0.5709
385,12.8301,0.5597,0.6646,0.5137,0.8634,0.5705,0.8444,0.5147,0.5707
386,12.8634,0.5637,0.665,0.5135,0.8539,0.5721,0.8425,0.5147,0.5694
387,12.8968,0.5662,0.6651,0.5133,0.8466,0.5736,0.8412,0.5155,0.5675
388,12.9301,0.569,0.664,0.5133,0.8398,0.5759,0.8385,0.5159,0.5672
389,12.9634,0.5709,0.6638,0.5126,0.8352,0.577,0.8362,0.5147,0.5672
390,12.9967,0.5735,0.6637,0.5119,0.8349,0.5783,0.8369,0.513,0.5677
391,13.0301,0.5753,0.6624,0.5116,0.8305,0.5783,0.8373,0.5043,0.5659
392,13.0634,0.576,0.6612,0.5114,0.8238,0.5783,0.8373,0.5015,0.5654
393,13.0967,0.5755,0.6597,0.5106,0.8209,0.5784,0.8372,0.5005,0.5655
394,13.13,0.5744,0.6599,0.5104,0.8168,0.5784,0.8374,0.5015,0.5681
395,13.1634,0.5732,0.6601,0.5104,0.8138,0.5782,0.8374,0.503,0.569
396,13.1967,0.5708,0.6599,0.5105,0.8097,0.5782,0.8375,0.5044,0.5708
397,13.23,0.5685,0.6597,0.5111,0.8086,0.5781,0.8376,0.506,0.573
398,13.2633,0.5662,0.6598,0.5114,0.8089,0.5779,0.8377,0.5075,0.5745
399,13.2967,0.5644,0.6596,0.5114,0.8086,0.5777,0.8374,0.5088,0.5751
400,13.33,0.5631,0.6583,0.5115,0.8071,0.5777,0.8324,0.5093,0.5748
401,13.3633,0.561,0.6554,0.5116,0.8057,0.5779,0.8223,0.5094,0.5747
402,13.3966,0.559,0.6543,0.5118,0.8059,0.5776,0.8121,0.5141,0.5749
403,13.43,0.5577,0.6521,0.5119,0.8052,0.5775,0.8018,0.5162,0.5749
404,13.4633,0.557,0.6513,0.5119,0.8041,0.5766,0.7978,0.5168,0.5741
405,13.4966,0.5561,0.6496,0.5119,0.8033,0.5754,0.7965,0.5167,0.573
406,13.5299,0.5548,0.6477,0.5119,0.8037,0.5749,0.7975,0.5167,0.5726
407,13.5633,0.5542,0.6462,0.5117,0.804,0.5725,0.7988,0.5167,0.571
408,13.5966,0.5537,0.6449,0.5115,0.8033,0.5716,0.7979,0.5168,0.5726
409,13.6299,0.5531,0.645,0.5114,0.8034,0.572,0.7929,0.5166,0.5747
410,13.6632,0.5534,0.6453,0.5114,0.8036,0.5725,0.7913,0.5154,0.5748
411,13.6966,0.553,0.6451,0.5116,0.803,0.5734,0.7899,0.5152,0.575
412,13.7299,0.5533,0.6442,0.5118,0.8025,0.5739,0.7877,0.5148,0.5758
413,13.7632,0.5535,0.6435,0.513,0.8014,0.5745,0.7862,0.5148,0.5758
414,13.7965,0.5551,0.6425,0.5136,0.8,0.5745,0.7865,0.5148,0.5758
415,13.8299,0.5564,0.6414,0.5136,0.7982,0.5748,0.7862,0.5148,0.5767
416,13.8632,0.5592,0.6399,0.5137,0.7967,0.5752,0.7863,0.5148,0.5767
417,13.8965,0.5632,0.6379,0.5138,0.7938,0.5756,0.7857,0.5148,0.5765
418,13.9298,0.5643,0.6369,0.514,0.7901,0.5776,0.785,0.515,0.5765
419,13.9632,0.5664,0.6358,0.5146,0.7838,0.5796,0.7852,0.5153,0.5767
420,13.9965,0.5673,0.6357,0.5167,0.7785,0.5809,0.7852,0.5153,0.5768
421,14.0298,0.5691,0.6355,0.5189,0.7766,0.5817,0.7837,0.5157,0.577
422,14.0631,0.5704,0.6352,0.5207,0.7729,0.5819,0.784,0.5166,0.5776
423,14.0965,0.5706,0.6343,0.5216,0.7721,0.5824,0.7837,0.5182,0.5776
424,14.1298,0.5709,0.6335,0.5229,0.7696,0.5824,0.7836,0.5206,0.5791
425,14.1631,0.5716,0.6338,0.5248,0.7683,0.5823,0.7836,0.5219,0.5793
426,14.1964,0.573,0.6338,0.5261,0.7677,0.5824,0.7833,0.5269,0.58
427,14.2298,0.5743,0.6334,0.5282,0.7657,0.5824,0.783,0.5297,0.5803
428,14.2631,0.5743,0.6335,0.5294,0.7641,0.5822,0.7825,0.5312,0.5806
429,14.2964,0.5739,0.6329,0.5299,0.7631,0.582,0.7824,0.5331,0.5822
430,14.3297,0.5734,0.6325,0.5307,0.7631,0.5819,0.7825,0.5333,0.5826
431,14.3631,0.5731,0.632,0.5306,0.761,0.582,0.7822,0.5326,0.5828
432,14.3964,0.572,0.6307,0.5305,0.7615,0.5819,0.7813,0.5323,0.5828
433,14.4297,0.57,0.6301,0.5304,0.7617,0.5819,0.7787,0.5328,0.5827
434,14.463,0.5673,0.6293,0.5304,0.7611,0.5824,0.7732,0.5335,0.5827
435,14.4964,0.5654,0.6284,0.5304,0.7605,0.5824,0.7631,0.5346,0.5838
436,14.5297,0.5639,0.6271,0.5304,0.7588,0.5822,0.7574,0.5363,0.5837
437,14.563,0.563,0.6259,0.5304,0.7576,0.5821,0.7518,0.5375,0.5835
438,14.5963,0.5622,0.6251,0.5304,0.7573,0.5809,0.7505,0.5391,0.583
439,14.6297,0.5618,0.6242,0.5302,0.7575,0.5803,0.7504,0.5391,0.5804
440,14.663,0.5615,0.6232,0.5302,0.7578,0.5799,0.7517,0.5366,0.5784
441,14.6963,0.5611,0.6225,0.5301,0.758,0.5782,0.7526,0.5366,0.5783
442,14.7296,0.5613,0.6219,0.5297,0.7579,0.5778,0.7519,0.5365,0.58
443,14.763,0.5612,0.6211,0.5292,0.7579,0.5776,0.7508,0.5365,0.5829
444,14.7963,0.561,0.621,0.5288,0.7577,0.5777,0.747,0.5347,0.5827
445,14.8296,0.5606,0.6206,0.5288,0.7569,0.5779,0.7444,0.5343,0.5816
446,14.8629,0.5603,0.6206,0.5287,0.7564,0.5776,0.7464,0.5333,0.5811
447,14.8963,0.5602,0.6206,0.5287,0.7565,0.5774,0.7471,0.5315,0.5795
448,14.9296,0.5604,0.6202,0.5289,0.756,0.5777,0.7462,0.5313,0.5782
449,14.9629,0.5611,0.6201,0.529,0.7531,0.5779,0.7452,0.5313,0.5771
450,14.9962,0.5617,0.6201,0.5293,0.7482,0.5779,0.7456,0.5316,0.576
451,15.0296,0.5633,0.6187,0.5298,0.7424,0.5785,0.7433,0.5319,0.5755
452,15.0629,0.5655,0.6183,0.5309,0.7388,0.5798,0.741,0.5319,0.5749
453,15.0962,0.5674,0.6179,0.5313,0.7357,0.5802,0.7402,0.5319,0.575
454,15.1295,0.5695,0.6175,0.5315,0.7354,0.5812,0.7412,0.5317,0.5748
455,15.1629,0.5703,0.6171,0.5314,0.7342,0.5813,0.7417,0.5318,0.5752
456,15.1962,0.5715,0.616,0.5314,0.7335,0.5815,0.7412,0.5315,0.5764
457,15.2295,0.5719,0.6149,0.5309,0.7329,0.5813,0.7415,0.5294,0.5769
458,15.2628,0.5725,0.615,0.5301,0.7322,0.5806,0.7423,0.5285,0.5772
459,15.2962,0.5723,0.6149,0.5293,0.7287,0.5802,0.7423,0.528,0.5772
460,15.3295,0.5718,0.6136,0.5288,0.7283,0.5798,0.7422,0.5239,0.5768
461,15.3628,0.5713,0.6137,0.5284,0.729,0.5796,0.7423,0.5218,0.5768
462,15.3961,0.5704,0.6137,0.5277,0.729,0.5798,0.7422,0.5212,0.5749
463,15.4295,0.5687,0.6136,0.5266,0.7291,0.5798,0.7421,0.5214,0.5744
464,15.4628,0.567,0.6129,0.5255,0.7288,0.5797,0.7417,0.5224,0.5741
465,15.4961,0.565,0.612,0.5246,0.7282,0.5799,0.7379,0.5227,0.5742
466,15.5294,0.563,0.6115,0.5242,0.7275,0.58,0.7318,0.5234,0.5753
467,15.5628,0.5611,0.6104,0.5239,0.7271,0.5799,0.7286,0.5268,0.5753
468,15.5961,0.5599,0.6097,0.5236,0.7259,0.5799,0.7247,0.5289,0.5752
469,15.6294,0.5591,0.6089,0.5236,0.7257,0.579,0.7213,0.529,0.5738
470,15.6627,0.5584,0.6079,0.5236,0.7257,0.577,0.7191,0.5276,0.5694
471,15.6961,0.5577,0.607,0.5237,0.7258,0.5756,0.7196,0.527,0.5676
472,15.7294,0.5574,0.6065,0.5242,0.726,0.5749,0.7204,0.5267,0.5674
473,15.7627,0.5571,0.6052,0.5242,0.7262,0.5751,0.7202,0.5267,0.5674
474,15.796,0.5568,0.6054,0.5242,0.7263,0.5751,0.7191,0.5269,0.5679
475,15.8294,0.5565,0.6057,0.5242,0.7263,0.5751,0.7163,0.5269,0.5687
476,15.8627,0.5562,0.6059,0.5242,0.7261,0.5752,0.7149,0.5267,0.5689
477,15.896,0.5559,0.6059,0.5242,0.726,0.5751,0.7153,0.5253,0.5688
478,15.9293,0.5559,0.6059,0.5243,0.7255,0.5749,0.7149,0.526,0.5688
479,15.9627,0.556,0.6058,0.5243,0.7252,0.5748,0.7155,0.5261,0.569
480,15.996,0.5562,0.6056,0.5243,0.7238,0.5747,0.7154,0.5249,0.5691
481,16.0293,0.5575,0.6044,0.5245,0.722,0.575,0.7148,0.5244,0.5687
482,16.0626,0.5588,0.6034,0.525,0.7202,0.5755,0.7151,0.5238,0.5684
483,16.096,0.5603,0.6025,0.5255,0.7168,0.5754,0.7151,0.5247,0.5684
484,16.1293,0.5617,0.602,0.526,0.7136,0.5752,0.7153,0.5253,0.5687
485,16.1626,0.5637,0.6014,0.5273,0.7105,0.5753,0.7152,0.5257,0.5683
486,16.1959,0.5659,0.6011,0.5284,0.7087,0.5756,0.7153,0.5259,0.568
